d,n,omega,seed,row_index,predicted_step_size,observed_step_size,abs_r_l,beta_l,err_step
4,48,1.0,1,41,0.14058120202375268,0.14058120202375265,0.880541632823403,39.23243686259415,2.7755575615628914e-17
4,48,1.0,1,28,0.03627212709799614,0.036272127097996154,0.17175170811943996,22.42105689606096,1.3877787807814457e-17
4,48,1.0,1,18,0.00133253908043288,0.001332539080432868,0.007713996955997615,33.511897324296726,1.1926223897340549e-17
4,48,1.0,1,12,0.23265312691405865,0.2326531269140587,1.1516279412349704,24.502285663365683,5.551115123125783e-17
4,48,1.0,1,26,0.029867714097807162,0.029867714097807144,0.17225665381553412,33.26197571304751,1.734723475976807e-17
4,48,1.0,1,44,0.1433972908928827,0.1433972908928827,0.758338262516443,27.966881691351126,0.0
4,48,1.0,1,25,0.04809862145948631,0.048098621459486325,0.25678736467419183,28.502440113188715,1.3877787807814457e-17
4,48,1.0,1,19,0.3613556317975546,0.3613556317975546,1.6578621184374334,21.04879124906551,0.0
4,48,1.0,1,42,0.029824474797616962,0.02982447479761691,0.17809081066958665,35.656393381727234,5.204170427930421e-17
4,48,1.0,1,4,0.09528974598965168,0.09528974598965168,0.47911489058727286,25.28057797811712,0.0
4,48,1.0,1,34,0.22122781223750054,0.22122781223750054,1.134534217474453,26.299999990927816,0.0
4,48,1.0,1,37,0.24290421023256878,0.24290421023256875,1.4435362024761793,35.31711952568732,2.7755575615628914e-17
4,48,1.0,1,14,0.1653806190240303,0.1653806190240303,0.950114639800143,33.00523228275463,0.0
4,48,1.0,1,37,0.24290421023256878,0.24290421023256875,1.4435362024761793,35.31711952568732,2.7755575615628914e-17
4,48,1.0,2,40,0.1611517872331875,0.16115178723318752,0.744658706999116,21.352281731178564,2.7755575615628914e-17
4,48,1.0,2,13,0.1937911712087872,0.19379117120878722,1.1838040371391196,37.31570563782485,2.7755575615628914e-17
4,48,1.0,2,0,0.2791694990142594,0.2791694990142594,1.3082068433548018,21.95921945064256,0.0
4,48,1.0,2,43,0.048709209788068274,0.04870920978806825,0.23112001379984348,22.5140144990163,2.0816681711721685e-17
4,48,1.0,2,38,0.20528919656610803,0.20528919656610808,1.2729061558218542,38.44683407876872,5.551115123125783e-17
4,48,1.0,2,28,0.06350851383737055,0.06350851383737054,0.37354244140093273,34.595212770084785,1.3877787807814457e-17
4,48,1.0,2,5,0.09266926029966512,0.09266926029966512,0.4743081005836163,26.196887253268148,0.0
4,48,1.0,2,18,0.06428790688710342,0.0642879068871034,0.292454425554717,20.69463749309968,2.7755575615628914e-17
4,48,1.0,2,0,0.2791694990142594,0.2791694990142594,1.3082068433548018,21.95921945064256,0.0
4,48,1.0,2,44,0.2804177210292898,0.2804177210292898,1.344046230858931,22.972988951260355,0.0
4,48,1.0,2,23,0.0059942904560799206,0.005994290456079934,0.03424480005688402,32.63726093038845,1.3010426069826053e-17
4,48,1.0,2,27,0.24490819765712432,0.24490819765712435,1.2702899797225227,26.902900174845755,2.7755575615628914e-17
4,48,1.0,2,27,0.24490819765712432,0.24490819765712435,1.2702899797225227,26.902900174845755,2.7755575615628914e-17
4,48,1.0,2,24,0.12360713901279628,0.12360713901279623,0.6502447436140257,27.673659400196605,5.551115123125783e-17
4,48,1.0,2,13,0.1937911712087872,0.19379117120878722,1.1838040371391196,37.31570563782485,2.7755575615628914e-17
